item,context,effect_type,effect,generation_start,generation_end,notes
seed-of-mastery,field,move-upgrade,Allows a Pokémon to master a move for agile or strong style use,8,8,Given to Zisu in Legends: Arceus
serious-mint,field,nature-change,"Changes the Pokémon’s Nature effect to Serious, with no stat increases or decreases.",8,,
shaderoot-carrot,field,summon,Summons Spectrier at the Crown Shrine.,8,,
shadow-mail,held,message-storage,Stores a written message using Easy Chat phrases while held by a Pokémon.,3,3,Cannot be stolen by Covet or Thief; removable by Knock Off.
shalour-sable,field,healing,Cures all non-volatile status conditions and confusion.,6,,
sharp-beak,held,type-boost,Boosts Flying-type moves by 10%,2,3,
sharp-beak,held,type-boost,Boosts Flying-type moves by 20%,4,,
sharpedonite,held,evolution-trigger,Allows Sharpedo to Mega Evolve into Mega Sharpedo,6,,
shed-shell,held,switching,"Allows the holder to switch out regardless of trapping moves or Abilities, including self-inflicted effects like Ingrain.",4,,
shell-bell,held,healing,Restores HP equal to 1/8 of damage dealt,3,,Does not activate under certain conditions depending on generation
shiny-charm,passive,encounter-modifier,Increases the chance of encountering or hatching Shiny Pokémon by granting additional shiny rerolls.,5,,Specific reroll counts and affected encounter types vary by generation and game.
shiny-stone,field,evolution-trigger,Evolves certain Pokémon when used,4,,
shoal-salt,field,crafting,Combine four Shoal Salt and four Shoal Shells to create a Shell Bell,3,,
shoal-shell,field,crafting,Combine four Shoal Shells and four Shoal Salts to obtain a Shell Bell.,3,,Only in Hoenn
shock-drive,battle,type-change,Changes Techno Blast to Electric type when used by Genesect.,5,,
shock-drive,held,form-change,Changes Genesect into its Shock Drive form.,5,,Cannot be removed or swapped via item-manipulating moves.
shuca-berry,held,damage-reduction,Halves damage from one supereffective Ground-type attack (¼ with Ripen),4,,
silk-scarf,held,type-boost,Boosts Normal-type move power by 10%,3,3,Also boosted confusion damage
silk-scarf,held,type-boost,Boosts Normal-type move power,5,,No longer boosts confusion damage
silk-scarf,held,type-boost,Boosts Normal-type move power by 20%,4,4,Also boosted confusion damage
silph-scope,field,utility,Allows unidentified ghosts to be revealed and interacted with normally in Pokémon Tower.,1,,
silver-bottle,passive,cosmetic,Decorates the player's picnic with no functional effect.,9,,
silver-cup,passive,decorative,Decorates the player's picnic with no gameplay effect.,9,,
silver-feather,field,encounter-trigger,Allows Lugia to appear at the Whirl Islands under specific conditions.,2,,
silver-leaf,passive,sell-only,No practical use other than being sold.,2,,
silver-nanab-berry,field,capture-assist,Makes wild Pokémon less likely to move and causes the target ring to shrink more slowly until a Poké Ball escape.,7,,
silver-pick,field,passive,Completes a sandwich during a picnic.,9,,
silver-pinap-berry,field,reward-boost,Increases the chance of receiving additional item rewards when catching a wild Pokémon; effect ends if the Pokémon breaks free.,7,,
silver-powder,held,type-boost,Boosts Bug-type move power by 20%,4,,
silver-powder,held,type-boost,Boosts Bug-type move power by 10%,2,3,
silver-razz-berry,field,catch-rate-boost,Increases catch rate until the Pokémon breaks out of a Poké Ball.,7,,
simple-chairs,passive,decorative,Decorates the player's picnic with simple chairs.,9,,
sitrus-berry,bag,healing,Restores 25% of maximum HP,4,,Restores 50% if the Pokémon has the Ripen Ability.
sitrus-berry,held,healing,Restores 25% of maximum HP when HP falls below 50%,4,,
skarmorite,battle,evolution-trigger,Allows Skarmory to Mega Evolve into Mega Skarmory while held,9,,Requires the Trainer to have a Key Stone; only one Mega Evolution per battle
skull-fossil,passive,evolution-trigger,Can be regenerated into Cranidos at a fossil restoration location,4,,
sky-plate,held,type-boost,Boosts Flying-type moves by 20%,4,,
sky-plate,held,evolution-trigger,Changes Arceus to Flying type via Multitype,4,,
sky-tumblestone,passive,crafting,"Used to craft Feather Ball, Wing Ball (1), and Jet Ball (2).",8,,
slowbronite,held,evolution-trigger,Allows Mega Evolution into Mega Slowbro,6,,"Unaffected by Embargo, Klutz, Trick, or Fling"
slowpoke-cup,passive,cosmetic,Decorates the player's picnic with no practical gameplay effect.,9,,
slowpoke-tail,passive,sell-only,No effect other than being sold for money,2,,
small-bouquet,passive,none,No practical effect.,7,,
smart-candy,field,stat-boost,Increases Special Attack by 1 AV up to a maximum of 50 AVs.,7,,
smart-candy-l,field,stat-boost,"Increases Special Attack by 1 AV when used on a Pokémon of Lv. 30 or higher, up to 100 AVs.",7,,
smart-candy-xl,field,stat-boost,"Increases Special Attack by 1 AV for Pokémon Lv. 60 or higher, up to 200 AVs.",7,,
smiling-vee-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
smoke-ball,held,escape,Guarantees fleeing from wild Pokémon; interaction varies by generation with trapping effects.,2,,
smoke-bomb,field,passive,Creates a wide cloud of smoke for about 25 seconds that reduces visibility and allows sneaking like tall grass.,8,,
smoke-poke-tail,field,crafting,Used as an ingredient when cooking curry,8,,
smoked-fillet,field,crafting,Used as an ingredient when making sandwiches.,9,,
smooth-rock,held,weather-extension,Extends sandstorm duration to 8 turns,4,,"Prior to Generation VI, does not affect Sand Stream."
snorlium-z--held,held,z-move-upgrade,Upgrades Snorlax's Giga Impact into Pulverizing Pancake,7,,
snow-balm,battle,quest-specific,Calms the frenzied Hisuian Avalugg during Mission 12 and post-game rematches.,8,,
snow-mail,held,passive,Allows the holder to carry a written message that can be traded to other Generation IV games.,4,4,"Cannot be stolen by Covet or Thief; Knock Off can remove it; causes Fling, Trick, and Switcheroo to fail."
snowball,field,status,Thrown to temporarily stun wild Pokémon.,8,,Legends: Arceus only
snowball,held,stat-boost,Raises Attack by one stage when hit by an Ice-type damaging move; item is consumed.,6,,
soda-pop,field,healing,Restores 50 HP,7,,
soda-pop,field,healing,Restores 60 HP,1,6,
soft-sand,held,type-boost,Boosts Ground-type move power by 10%,2,3,
soft-sand,held,type-boost,Boosts Ground-type move power by 20%,4,,
solgaleo-treat,field,encounter-trigger,Allows the player to encounter and battle Solgaleo at the Pokémon League and receive hints from Snacksworth.,9,,
solganium-z--held,held,move-upgrade,Upgrades Sunsteel Strike into the Z-Move Searing Sunraze Smash when held by Solgaleo or Dusk Mane Necrozma.,7,,Unaffected by item-negating effects and cannot be removed by item-manipulating effects.
sonias-book,passive,none,No practical effect.,8,,
soot-sack,field,collection,Allows the player to collect volcanic ash on Route 113 or Jagged Pass.,3,,
sootfoot-root,passive,crafting-material,"Used to craft Smoke Bomb, Old Gateau, and Swap Snack.",8,,
soothe-bell,held,friendship-boost,Increases friendship gains by 50%,3,,
soul-dew,held,type-boost,Psychic- and Dragon-type move power x1.2 when held by Latios or Latias,7,,Exact multiplier is 4915/4096.
soul-dew,held,stat-boost,Special Attack and Special Defense x1.5 when held by Latios or Latias,3,6,
soul-slate,field,encounter-trigger,Allows access to a battle with Latias and Latios in the Soul Room at Ramanas Park.,8,,
sour-herba-mystica,field,crafting,Used as an ingredient when making sandwiches.,9,,
space-balm,battle,passive,Calms the frenzied Palkia in its Origin Forme when thrown during specific battles.,8,,
space-mail,held,passive,"Allows a written message to be attached to a Pokémon and traded; prevents PC storage and causes Fling, Trick, and Switcheroo to fail.",4,4,Message is deleted if stored in Bag or Item Storage.
sparkling-stone,field,story,Given to Hala to refine into a Z-Ring or Z-Power Ring.,7,,
spectrier-treat,field,encounter-trigger,Allows the player to encounter and battle Spectrier at Glaseado Mountain and receive a location hint from Snacksworth.,9,,
spell-tag,held,type-boost,Boosts Ghost-type moves by 10%,2,3,
spell-tag,held,type-boost,Boosts Ghost-type moves by 20%,4,,
spelon-berry,passive,ingredient,"Used as an ingredient for Pokéblocks, Poffins, Berry Powder, and similar items",3,,
spice-mix,passive,crafting,Used as an ingredient when cooking curry.,8,,
spicy-herba-mystica,field,crafting,Used as an ingredient when making sandwiches.,9,,
splash-plate,held,type-boost,Boosts Water-type moves by 20%; changes Judgment to Water type.,4,,Changes Arceus to Water type via Multitype.
spoiled-apricorn,field,stun,Temporarily stuns wild Pokémon when thrown,8,,
spoiled-apricorn,passive,crafting-material,Required to craft Sticky Glob,8,,
spooky-chairs,passive,cosmetic,Decorates the player's picnic with spooky-themed chairs.,9,,
spooky-plate,battle,move-type-change,Judgment becomes Ghost type,4,,Only when held by Arceus
spooky-plate,held,type-boost,Boosts Ghost-type moves by 20%,4,,
spooky-tablecloth,passive,cosmetic,Decorates the player's picnic without providing gameplay benefits.,9,,
sport-ball,battle,catch-rate,1.5× catch rate,2,7,Usable only during Bug-Catching Contest in applicable games.
sport-ball,battle,catch-rate,1× catch rate,8,,
sprayduck,field,passive,Watering planted Berries increases the yield if done correctly for sufficient time.,4,,
springy-mushroom,field,bait,Attracts certain Pokémon when thrown.,8,,
springy-mushroom,field,crafting,Used to craft Mushroom Cake and Swap Snack.,8,,
sprinklotad,field,utility,Allows the player to water trees planted at Berry fields.,6,,
squall-slate,field,event-trigger,Allows entry to the Squall Room in Ramanas Park to battle Lugia.,8,,
squirt-bottle,field,story,"Allows watering the Sudowoodo blocking Route 36, triggering a battle.",2,4,
squirt-bottle,field,utility,Waters Berry plants grown in Berry Pots.,4,,
ss-ticket,field,story-progress,Allows boarding of specific ships and access to new areas,1,,
stable-mulch,field,berry-growth,Extends the time Berries remain on plants to 150% of normal,4,4,
stable-mulch,passive,none,No practical effect other than selling,5,,
star-sweet,held,evolution-trigger,Evolves Milcery into Alcremie when the player spins,8,,Consumed upon evolution
staraptite,held,evolution-trigger,Allows Staraptor to Mega Evolve into Mega Staraptor during battle if the Trainer has a Key Stone.,9,,
stardust,passive,sell-only,Can be sold for money,2,,
starf-berry,held,stat-boost,"Randomly raises Attack, Defense, Special Attack, Special Defense, or Speed by two stages when HP is low",3,,Gluttony triggers at 1/2 HP; Ripen doubles the boost
starminite,battle,evolution-trigger,Allows Starmie to Mega Evolve into Mega Starmie while held.,9,,Requires a Key Stone; only one Mega Evolution per battle.
stealth-spray,field,passive,"Silences the player's footsteps for one minute, reducing the chance of alerting wild Pokémon.",8,,
steel-bottle-b,field,passive,Decorative item with no practical effect.,9,,
steel-bottle-r,passive,cosmetic,Decorative picnic item with no gameplay effect.,9,,
steel-bottle-y,field,cosmetic,Decorative picnic item with no practical effect.,9,,
steel-gem,battle,restriction,Fling fails if the user is holding this item,5,,
steel-gem,held,type-boost,Boosts first Steel-type move by 50%,5,5,Consumed after use
steel-gem,held,type-boost,Boosts first Steel-type move by 30%,6,,Consumed after use
steel-mail,held,passive,Allows the holder to carry a written message that can be traded to other Generation IV games.,4,4,Cannot be stolen by Covet or Thief; Knock Off can remove it; Trick and Switcheroo fail.
steel-memory,battle,type-change,Changes Multi-Attack to Steel type and makes Silvally Steel type.,7,,
steel-memory,field,type-change,Changes Silvally into its Steel-type form.,7,,
steel-tera-shard,field,type-change,"50 shards can change a Pokémon’s Tera Type to Steel at the Treasure Eatery in Medali, except for Ogerpon and Terapagos.",9,,
steelium-z--held,held,form-change,Changes Arceus to its Steel-type form when held.,7,,Due to the Multitype Ability
steelium-z--held,held,type-boost,Upgrades Steel-type moves into the Z-Move Corkscrew Crash or corresponding Z-Moves.,7,,
steelixite,battle,evolution-trigger,Enables Steelix to Mega Evolve into Mega Steelix,6,,Requires Key Stone; only one Mega Evolution per battle
stellar-tera-shard,field,type-change,50 shards change a Pokémon’s Tera Type to Stellar at the Treasure Eatery in Medali,9,,Does not apply to Ogerpon or Terapagos
sticker-case,field,passive,"Allows buying, collecting, and applying Stickers or Seals to Ball Capsules.",4,,
sticky-barb,held,damage,Damages holder by 12.5% of max HP each turn; transfers on contact.,4,,Does not damage Pokémon with Magic Guard; does not transfer through Substitute.
sticky-glob,field,status,Temporarily stuns a wild Pokémon when hit,8,,
stone-plate,held,form-change,Changes Arceus to Rock type,4,,
stone-plate,held,type-boost,Boosts Rock-type move power by 20%,4,,
storage-key,field,unlock,Opens the storage hold on the exterior of Sea Mauville.,6,,Grants access to items including TM13 (Ice Beam) and Beedrillite.
storage-key,field,unlock,Opens the storage room aboard the Abandoned Ship.,3,5,Grants access to items including TM13 (Ice Beam).
storage-key--galactic-warehouse,field,story,Opens the locked door inside the Galactic Warehouse.,4,,"In Pokémon Platinum, the key is used by Looker during a scripted event instead of the player."
strange-ball,battle,catch-rate,"Acts as a placeholder; if hacked into use, functions with a standard catch rate depending on the game.",8,,Not normally usable due to being unobtainable.
strange-souvenir,passive,sell-only,No effect other than being sold for money,6,,
stratospheric-slate,field,story,Allows the player to battle Rayquaza in the Stratospheric Room at Ramanas Park.,8,,
strawberry,passive,crafting,Used as an ingredient for making sandwiches.,9,,
strawberry-sweet,held,evolution-trigger,Triggers Milcery to evolve into Alcremie when the player spins,8,,The item is consumed upon evolution.
stretchy-spring,passive,none,No effect other than being sold.,7,,
striped-bottle,passive,decoration,Decorates the player's picnic with no additional effects.,9,,
striped-chairs,passive,decorative,Decorates the player's picnic with striped chairs.,9,,
striped-cup,passive,decorative,No practical effect; used only to decorate picnics.,9,,
striped-tablecloth,field,cosmetic,Decorates the player's picnic with a striped tablecloth.,9,,
style-card,passive,unlock,Unlocks additional clothing and hair styles in boutiques and hair salons.,8,,
suicune-treat,field,encounter-trigger,Allows the player to encounter and battle Suicune at Casseroya Lake; showing it to Snacksworth provides a hint to Suicune's location.,9,,
suite-key,field,story,"Allows the owner to access her hotel suite when returned, yielding a reward item.",4,,Used in a side quest at Hotel Grand Lake
sun-flute,field,evolution-trigger,Triggers the evolution of Cosmoem when played with the Moon Flute at the appropriate altar during the storyline.,7,,
sun-stone,field,evolution-trigger,Evolves specific Pokémon when used,2,,
sunrise-flower-pick,field,passive,Can be used to complete a sandwich during a picnic.,9,,
sunset-flower-pick,field,passive,Used to complete sandwiches during picnics.,9,,
super-lumiose-galette,field,story-progress,Necessary to progress in the Canari Quiz Whiz Contest at the Electrical Substation.,9,,
super-lure,field,encounter-rate-boost,Increases encounters with rarer wild Pokémon for 200 steps and raises spawned Pokémon levels by 1 above the area's normal maximum.,7,,
super-potion,field,healing,Heals 50–100 HP depending on generation,1,,
super-repel,field,encounter-prevention,Prevents encounters with lower-level wild Pokémon for 200 steps,1,,
super-rod,field,encounter,Allows fishing for higher-level wild Pokémon than other rods.,1,,
superb-remedy,field,healing,Restores 150 HP and lowers friendship,8,,
supreme-butter,field,passive,Allows up to seven berries to be used when making donuts.,9,,Used by Ansha to make Donuts.
surf-mail,held,passive,Stores a custom written message that can be traded with the Pokémon holding it.,2,2,Cannot be stolen by Thief; restricts PC storage while held.
surge-badge,passive,none,Serves no practical purpose.,7,,
surprise-mulch,field,berry-mutation,Increases the chance of Berry mutations when applied to a Berry patch.,6,6,Only effective in Pokémon X and Y
surprise-mulch,passive,no-effect,Has no practical effect other than being sold.,6,,From Omega Ruby and Alpha Sapphire onward
survival-charm,passive,stat-boost,Increases the player's total health by 20% per charm while equipped in the satchel.,8,,Multiple charms stack; falling from great heights still causes immediate blackout.
swampertite,held,evolution-trigger,Allows Swampert to Mega Evolve into Mega Swampert,6,,
swap-snack,battle,stat-swap,Temporarily swaps Attack with Defense and Special Attack with Special Defense.,8,,
sweet-apple,field,evolution-trigger,Evolves Applin into Appletun,8,,Consumed upon use
sweet-heart,field,healing,Restores 20 HP,5,,
sweet-herba-mystica,field,crafting,Used as an ingredient when making sandwiches.,9,,
swift-wing,field,stat-boost,+1 Speed EV; slight friendship increase,5,,
swift-mochi,field,stat-boost,Increases Speed EVs by 10,9,,
swordcap,passive,crafting-material,Used to craft Aux Power and Choice Dumpling items.,8,,
synchro-machine,field,perspective-control,Allows the player to directly control their lead Pokémon within the Terarium.,9,,
syrupy-apple,field,evolution-trigger,Evolves Applin into Dipplin,9,,Consumed upon use
tamato-berry,field,friendship,Increases friendship and lowers Speed EVs by 10,3,,Speed EVs cannot go below 0; special behavior in Generation IV.
tanga-berry,held,type-resist,Halves damage from one supereffective Bug-type attack,4,,Damage is reduced to one-quarter if the holder has Ripen
tapunium-z--held,held,z-move-upgrade,Upgrades Nature's Madness into Guardian of Alola when held by a tapu.,7,,
tart-apple,field,evolution-trigger,Evolves Applin into Flapple,8,,Item is consumed upon use
tasty-trash,field,lure,Lures wild Trubbish during Side Mission 025: Trubblesome Patrons.,9,,
tatsugirinite,battle,evolution-trigger,Allows Tatsugiri to Mega Evolve into Mega Tatsugiri,9,,Requires the Trainer to have a Key Stone; only one Mega Evolution per battle
tea,field,story,Grants access to Saffron City when given to a guard.,3,,
teachy-tv,field,tutorial,"Allows the player to watch the Poké Dude Show, which teaches basic gameplay mechanics.",3,3,
teal-mask,passive,story,Returned to Ogerpon as part of the plot.,9,,
teal-style-card,field,passive,Expands available options at certain clothing stores and hair salons.,9,,
tectonic-slate,field,encounter-trigger,Allows the player to battle Groudon in the Tectonic Room at Ramanas Park.,8,,
tempting-charm,field,passive,Is lost instead of other items when the player blacks out,8,,
tera-orb,battle,form-change,Allows a Pokémon to Terastallize once per battle when charged.,9,,"Requires recharging at a Pokémon Center or Tera Raid crystal, with specific battle exceptions."
terrain-extender,held,field-duration,Extends terrain effects created by the holder to last 8 turns instead of 5.,7,,
terrakion-treat,field,encounter-trigger,Allows the player to encounter and battle Terrakion at West Province (Area One).,9,,Showing it to Snacksworth provides a hint to Terrakion's location.
thanks-mail,held,passive,Allows a custom thank-you message to be written and sent when held by a Pokémon.,5,,Prevents PC storage and certain move interactions while held.
thick-club,held,stat-boost,Doubles Attack for Cubone or Marowak,2,,Does not apply to transformed Pokémon in Generation II.
throat-spray,held,stat-boost,Raises Special Attack by one stage after using a sound-based move; item is consumed.,8,,Does not activate if the move fails or ends the battle
thunder-stone,field,evolution-trigger,Evolves compatible Pokémon when used,1,,Item is consumed upon use
tidal-bell,field,story,Used with the Silver Wing and the Kimono Girls' dance to summon Lugia.,4,4,Specific to Pokémon SoulSilver.
tidal-bell,field,story,Required to encounter Lugia at Sea Mauville.,6,6,Specific to Pokémon Alpha Sapphire.
time-balm,battle,story-progression,"Calms the frenzied Dialga, allowing it to be caught.",8,,Only usable during specific missions and rematches.
timer-ball,battle,catch-rate-modifier,"Catch rate increases as more turns pass, up to a maximum of 4×.",3,,Uses move count instead of turns in Pokémon Legends: Z-A.
timid-mint,field,stat-modifier,"Changes nature effects to Timid (Speed up, Attack down)",8,,
tin-of-beans,field,crafting,Used as an ingredient when cooking curry.,8,,
tiny-bamboo-shoot,passive,sell-only,Has no practical use other than being sold.,9,,
tiny-mushroom,field,exchange,Two can be exchanged for Move Reminder service,3,3,FireRed and LeafGreen only
tm-case,passive,storage,Stores all TMs and HMs collected by the player.,3,,
tm00,field,move-teaching,Teaches Mega Punch to compatible Pokémon,8,,
tm01,field,move-teaching,Teaches a specific move depending on the game version.,1,,
tm02,field,move-teaching,Teaches a move depending on the game version.,1,,
tm03,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm04,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm05,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm06,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm07,field,move-teaching,Teaches a move depending on the game version.,1,,
tm10,field,move-teaching,Teaches a move depending on the game version.,1,,
tm14,field,move-teaching,Teaches a move depending on the game.,1,,
tm15,field,move-teaching,Teaches a move that varies by game.,1,,
tm16,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm17,field,move-teaching,Teaches a move depending on the game.,1,,
tm18,field,move-teaching,Teaches a move depending on the game.,1,,
tm21,field,move-teaching,Teaches a move depending on the game.,1,,
tm24,battle,move-teaching,Teaches a specific move depending on the game version.,1,,
tm25,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm26,field,move-teaching,Teaches a move depending on the game version.,1,,
tm28,field,move-teaching,Teaches a move depending on the game.,1,,
tm29,field,move-teaching,Teaches a move depending on the game version.,1,,
tm31,field,move-teaching,Teaches a move depending on the game version.,1,,
tm33,passive,move-teaching,Teaches a move that varies by game version.,1,,
tm34,field,move-teaching,Teaches a move depending on the game version.,1,,
tm35,field,move-teaching,Teaches a move depending on the game.,1,,
tm36,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm39,field,move-teaching,Teaches a move depending on the game.,1,,
tm40,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm42,field,move-teaching,Teaches a move that varies by game.,1,,
tm45,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm47,field,move-teaching,Teaches a specific move depending on the game version.,1,,
tm49,field,move-teaching,Teaches a specific move depending on the game.,1,,
tm53,field,move-teaching,Teaches a move depending on the game version.,4,,
tm64,field,move-teaching,Teaches a move that depends on the game version.,4,,
tm66,field,move-teaching,Teaches a move depending on the game version.,4,,
tm67,field,move-teaching,Teaches a move depending on the game version.,4,,
tm69,field,move-teaching,Teaches a compatible Pokémon a move.,4,,
tm72,field,move-teaching,Teaches a move depending on the game.,4,,
tm76,field,move-teaching,Teaches a specific move depending on the game version.,4,,
tm81,field,move-teaching,Teaches a specific move depending on the game.,4,,
tm84,field,move-teaching,Teaches a move depending on the game version.,4,,
tm89,field,move-teaching,Teaches a specific move depending on the game.,4,,
tm90,field,move-teaching,Teaches a move depending on the game.,4,,
tm93,field,move-teaching,Teaches a move depending on the game version.,5,,
tm95,field,move-teaching,Teaches a move depending on the game version.,5,,
tm97,field,move-teaching,Teaches a move depending on the game.,6,,
tm99,field,move-teaching,Teaches a specific move depending on the game.,6,,
tm100,field,move-teaching,Teaches a specific move depending on the game.,6,,
tm113,field,move-teaching,Teaches a compatible Pokémon a move depending on the game.,9,,
tm172,field,move-teaching,Teaches the move Roar,9,,"In Pokémon Scarlet and Violet, TMs can only be used once."
tm177,field,move-teach,Teaches the move Spite to a compatible Pokémon.,9,,
tm182,field,move-teaching,Teaches Bug Bite,9,,Single-use in Scarlet and Violet
tm184,field,move-teaching,Teaches the move Vacuum Wave to a compatible Pokémon.,9,,
tm189,field,move-teaching,Teaches the move Heat Crash,9,,
tm191,passive,move-teaching,Teaches the move Uproar to a compatible Pokémon.,9,,
tm196,field,move-teaching,Teaches Flip Turn,9,,"In Pokémon Scarlet and Violet, TMs can only be used once."
tm200,field,move-teaching,Teaches the move Scale Shot.,9,,
tm201,field,move-teaching,Teaches Misty Explosion to a compatible Pokémon.,9,,
tm203,field,move-teach,Teaches the move Psych Up,9,,
tm210,field,move-teaching,Teaches the move Supercell Slam to compatible Pokémon.,9,,
tm211,field,move-teaching,Teaches the move Electroweb to a compatible Pokémon.,9,,Only in The Indigo Disk.
tm214,field,move-teaching,Teaches Sludge Wave,9,,
tm215,field,move-teaching,Teaches the move Scorching Sands to a compatible Pokémon.,9,,
tm218,field,move-teaching,Teaches the move Expanding Force to compatible Pokémon.,9,,
tm226,field,move-teaching,Teaches the move Dragon Cheer.,9,,
tmv-pass,field,access,Allows the player to ride the TMV at Lumiose Station and access Kiloude City.,6,,
tofu,field,ingredient,Used as an ingredient in making a sandwich.,9,,
tomato,field,crafting,Used as an ingredient when making sandwiches.,9,,
torn-journal,field,story,Triggers reading a journal passage during Request 82: Traces of a Lost Village.,8,,Only appears during the request in the Alabaster Icelands.
tough-candy,field,stat-boost,Raises Defense by 1 AV up to 50 AVs,7,,
tough-candy-l,field,stat-boost,"Increases Defense by 1 AV when used on Pokémon level 30 or higher, up to 100 AVs.",7,,
tough-candy-xl,field,stat-boost,+1 Defense AV (up to 200) when used on Pokémon Lv. 60+,7,7,Only applies to Let's Go games.
town-map,field,information,Displays the regional map and the player's current location.,1,,
toxic-orb,held,status-infliction,Badly poisons the holder at the end of each turn,4,,
toxic-plate,held,type-boost,Boosts Poison-type move power by 20%,4,,
toxic-plate,held,form-change,Changes Arceus to Poison type,4,,
tr00,field,move-teaching,Teaches Swords Dance to a compatible Pokémon,8,,Consumable; disappears after use
tr01,field,move-teaching,Teaches Body Slam to a compatible Pokémon,8,,Consumed after use
tr02,field,move-teaching,Teaches the move Flamethrower once to a compatible Pokémon.,8,,
tr03,field,move-teaching,Teaches Hydro Pump to a compatible Pokémon once,8,,
tr04,field,move-teaching,Teaches the move Surf to a compatible Pokémon once.,8,,
tr05,field,move-teaching,Teaches the move Ice Beam,8,,Single-use Technical Record
tr07,field,move-teaching,Teaches Low Kick to a compatible Pokémon once,8,,
tr09,field,move-teaching,Teaches the move Thunder,8,,
tr10,field,move-teach,Teaches the move Earthquake once,8,,
tr11,field,move-teaching,Teaches the move Psychic,8,,
tr12,field,move-teaching,Teaches the move Agility to a compatible Pokémon once.,8,,
tr13,field,move-teaching,Teaches Focus Energy,8,,
tr14,field,move-teaching,Teaches the move Metronome to a compatible Pokémon once.,8,,
tr15,field,move-teaching,Teaches the move Fire Blast once to a compatible Pokémon.,8,,
tr16,field,move-teaching,Teaches the move Waterfall to a compatible Pokémon; single-use.,8,,
tr17,field,move-teaching,Teaches Amnesia once to a compatible Pokémon.,8,,
tr18,field,move-teaching,Teaches the move Leech Life,8,,Single-use
tr19,field,move-teaching,Teaches the move Tri Attack to a compatible Pokémon once.,8,,
tr20,field,move-teaching,Teaches the move Substitute,8,,Single-use Technical Record
tr21,field,move-teaching,Teaches the move Reversal,8,,Single-use item
tr24,field,move-teaching,Teaches the move Outrage to a compatible Pokémon. Single-use.,8,,
tr25,field,move-teaching,Teaches Psyshock once to a compatible Pokémon,8,,
tr26,field,move-teaching,Teaches the move Endure,8,,
tr27,field,move-teaching,Teaches the move Sleep Talk to a compatible Pokémon once.,8,,
tr28,field,move-teaching,Teaches the move Megahorn to a compatible Pokémon once.,8,,
tr29,field,move-teaching,Teaches Baton Pass to a compatible Pokémon,8,,Single-use Technical Record
tr30,field,move-teaching,Teaches the move Encore to a compatible Pokémon once.,8,,
tr31,field,move-teaching,Teaches the move Iron Tail to a compatible Pokémon. The item is consumed after use.,8,,
tr32,field,move-teaching,Teaches the move Crunch to a compatible Pokémon once.,8,,
tr33,field,move-teaching,Teaches the move Shadow Ball to a compatible Pokémon. Single-use.,8,,
tr35,field,move-teaching,Teaches the move Uproar to a compatible Pokémon,8,,Consumed upon use
tr36,field,move-teaching,Teaches the move Heat Wave to a compatible Pokémon. The TR is consumed after use.,8,,
tr38,field,move-teaching,Teaches the move Trick once,8,,
tr39,field,move-teaching,Teaches the move Superpower,8,,Single-use Technical Record
tr40,field,move-teaching,Teaches Skill Swap once,8,,
tr41,field,move-teaching,Teaches Blaze Kick to a compatible Pokémon once.,8,,
tr42,field,move-teaching,Teaches the move Hyper Voice once to a compatible Pokémon.,8,,
tr44,field,move-teaching,Teaches the move Cosmic Power to a compatible Pokémon,8,,Consumed upon use
tr45,field,move-teaching,Teaches the move Muddy Water to a compatible Pokémon. Single-use.,8,,
tr46,field,move-teaching,Teaches the move Iron Defense to a compatible Pokémon.,8,,Consumed upon use.
tr47,field,move-teaching,Teaches Dragon Claw,8,,Single-use Technical Record
tr50,field,move-teaching,Teaches Leaf Blade,8,,
tr51,field,move-teaching,Teaches the move Dragon Dance,8,,
tr52,field,move-teaching,Teaches the move Gyro Ball,8,,
tr53,field,move-teaching,Teaches the move Close Combat to a compatible Pokémon once.,8,,
tr54,field,move-teaching,Teaches Toxic Spikes to a compatible Pokémon (single use).,8,,
tr55,field,move-teaching,Teaches the move Flare Blitz to a compatible Pokémon. The item is consumed after use.,8,,
tr56,field,move-teaching,Teaches Aura Sphere to a compatible Pokémon once.,8,,
tr57,field,move-teaching,Teaches the move Poison Jab to a compatible Pokémon,8,,Single-use Technical Record
tr58,field,move-teaching,Teaches Dark Pulse,8,,Consumed after use
tr59,field,move-teaching,Teaches the move Seed Bomb,8,,
tr61,field,move-teaching,Teaches the move Bug Buzz once,8,,
tr62,field,move-teaching,Teaches Dragon Pulse to a compatible Pokémon,8,,Single-use
tr63,field,move-teaching,Teaches the move Power Gem to a compatible Pokémon once.,8,,
tr64,field,move-teaching,Teaches the move Focus Blast to a compatible Pokémon once.,8,,
tr65,field,move-teaching,Teaches the move Energy Ball to a compatible Pokémon once,8,,
tr66,field,move-teaching,Teaches the move Brave Bird to a compatible Pokémon once.,8,,
