item,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_fr_fr,name_de,name_es,name_es_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_cs,name_pt_br,name_pt_pt,name_ca,name_da,name_fi,name_fr_ca,name_he,name_he_latn,name_hi,name_hi_latn,name_hu,name_id,name_ms,name_nl,name_no,name_pl,name_ru,name_ru_latn,name_sv,name_ta,name_ta_latn,name_te,name_te_latn,name_th,name_th_latn,name_tr,name_vi,name_zh_cmn_latn,name_zh_yue_latn
tm121,TM121,わざマシン１２１,わざマシン１２１,Waza Mashin 121,CT121,,TM121,MT121,,,MT121,기술머신121,,招式學習器１２１,招式学习器１２１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm122,TM122,わざマシン１２２,わざマシン１２２,Waza Mashin 122,CT122,,TM122,MT122,,,MT122,기술머신122,,招式學習器１２２,招式学习器１２２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm123,TM123,わざマシン１２３,わざマシン１２３,Waza Mashin 123,CT123,,TM123,MT123,,,MT123,기술머신123,,招式學習器１２３,招式学习器１２３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm124,TM124,わざマシン１２４,わざマシン１２４,Waza Mashin 124,CT124,,TM124,MT124,,,MT124,기술머신124,,招式學習器１２４,招式学习器１２４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm125,TM125,わざマシン１２５,わざマシン１２５,Waza Mashin 125,CT125,,TM125,MT125,,,MT125,기술머신125,,招式學習器１２５,招式学习器１２５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm126,TM126,わざマシン１２６,わざマシン１２６,Waza Mashin 126,CT126,,TM126,MT126,,,MT126,기술머신126,,招式學習器１２６,招式学习器１２６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm127,TM127,わざマシン１２７,わざマシン１２７,Waza Mashin 127,CT127,,TM127,MT127,,,MT127,기술머신127,,招式學習器１２７,招式学习器１２７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm128,TM128,わざマシン１２８,わざマシン１２８,Waza Mashin 128,CT128,,TM128,MT128,,,MT128,기술머신128,,招式學習器１２８,招式学习器１２８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm129,TM129,わざマシン１２９,わざマシン１２９,Waza Mashin 129,CT129,,TM129,MT129,,,MT129,기술머신129,,招式學習器１２９,招式学习器１２９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm130,TM130,わざマシン１３０,わざマシン１３０,Waza Mashin 130,CT130,,TM130,MT130,,,MT130,기술머신130,,招式學習器１３０,招式学习器１３０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm131,TM131,わざマシン１３１,わざマシン１３１,Waza Mashin 131,CT131,,TM131,MT131,,,MT131,기술머신131,,招式學習器１３１,招式学习器１３１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm132,TM132,わざマシン１３２,わざマシン１３２,Waza Mashin 132,CT132,,TM132,MT132,,,MT132,기술머신132,,招式學習器１３２,招式学习器１３２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm133,TM133,わざマシン１３３,わざマシン１３３,Waza Mashin 133,CT133,,TM133,MT133,,,MT133,기술머신133,,招式學習器１３３,招式学习器１３３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm134,TM134,わざマシン１３４,わざマシン１３４,Waza Mashin 134,CT134,,TM134,MT134,,,MT134,기술머신134,,招式學習器１３４,招式学习器１３４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm135,TM135,わざマシン１３５,わざマシン１３５,Waza Mashin 135,CT135,,TM135,MT135,,,MT135,기술머신135,,招式學習器１３５,招式学习器１３５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm136,TM136,わざマシン１３６,わざマシン１３６,Waza Mashin 136,CT136,,TM136,MT136,,,MT136,기술머신136,,招式學習器１３６,招式学习器１３６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm137,TM137,わざマシン１３７,わざマシン１３７,Waza Mashin 137,CT137,,TM137,MT137,,,MT137,기술머신137,,招式學習器１３７,招式学习器１３７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm138,TM138,わざマシン１３８,わざマシン１３８,Waza Mashin 138,CT138,,TM138,MT138,,,MT138,기술머신138,,招式學習器１３８,招式学习器１３８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm139,TM139,わざマシン１３９,わざマシン１３９,Waza Mashin 139,CT139,,TM139,MT139,,,MT139,기술머신139,,招式學習器１３９,招式学习器１３９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm140,TM140,わざマシン１４０,わざマシン１４０,Waza Mashin 140,CT140,,TM140,MT140,,,MT140,기술머신140,,招式學習器１４０,招式学习器１４０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm141,TM141,わざマシン１４１,わざマシン１４１,Waza Mashin 141,CT141,,TM141,MT141,,,MT141,기술머신141,,招式學習器１４１,招式学习器１４１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm142,TM142,わざマシン１４２,わざマシン１４２,Waza Mashin 142,CT142,,TM142,MT142,,,MT142,기술머신142,,招式學習器１４２,招式学习器１４２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm143,TM143,わざマシン１４３,わざマシン１４３,Waza Mashin 143,CT143,,TM143,MT143,,,MT143,기술머신143,,招式學習器１４３,招式学习器１４３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm144,TM144,わざマシン１４４,わざマシン１４４,Waza Mashin 144,CT144,,TM144,MT144,,,MT144,기술머신144,,招式學習器１４４,招式学习器１４４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm145,TM145,わざマシン１４５,わざマシン１４５,Waza Mashin 145,CT145,,TM145,MT145,,,MT145,기술머신145,,招式學習器１４５,招式学习器１４５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm146,TM146,わざマシン１４６,わざマシン１４６,Waza Mashin 146,CT146,,TM146,MT146,,,MT146,기술머신146,,招式學習器１４６,招式学习器１４６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm147,TM147,わざマシン１４７,わざマシン１４７,Waza Mashin 147,CT147,,TM147,MT147,,,MT147,기술머신147,,招式學習器１４７,招式学习器１４７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm148,TM148,わざマシン１４８,わざマシン１４８,Waza Mashin 148,CT148,,TM148,MT148,,,MT148,기술머신148,,招式學習器１４８,招式学习器１４８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm149,TM149,わざマシン１４９,わざマシン１４９,Waza Mashin 149,CT149,,TM149,MT149,,,MT149,기술머신149,,招式學習器１４９,招式学习器１４９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm150,TM150,わざマシン１５０,わざマシン１５０,Waza Mashin 150,CT150,,TM150,MT150,,,MT150,기술머신150,,招式學習器１５０,招式学习器１５０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm151,TM151,わざマシン１５１,わざマシン１５１,Waza Mashin 151,CT151,,TM151,MT151,,,MT151,기술머신151,,招式學習器１５１,招式学习器１５１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm152,TM152,わざマシン１５２,わざマシン１５２,Waza Mashin 152,CT152,,TM152,MT152,,,MT152,기술머신152,,招式學習器１５２,招式学习器１５２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm153,TM153,わざマシン１５３,わざマシン１５３,Waza Mashin 153,CT153,,TM153,MT153,,,MT153,기술머신153,,招式學習器１５３,招式学习器１５３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm154,TM154,わざマシン１５４,わざマシン１５４,Waza Mashin 154,CT154,,TM154,MT154,,,MT154,기술머신154,,招式學習器１５４,招式学习器１５４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm155,TM155,わざマシン１５５,わざマシン１５５,Waza Mashin 155,CT155,,TM155,MT155,,,MT155,기술머신155,,招式學習器１５５,招式学习器１５５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm156,TM156,わざマシン１５６,わざマシン１５６,Waza Mashin 156,CT156,,TM156,MT156,,,MT156,기술머신156,,招式學習器１５６,招式学习器１５６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm157,TM157,わざマシン１５７,わざマシン１５７,Waza Mashin 157,CT157,,TM157,MT157,,,MT157,기술머신157,,招式學習器１５７,招式学习器１５７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm158,TM158,わざマシン１５８,わざマシン１５８,Waza Mashin 158,CT158,,TM158,MT158,,,MT158,기술머신158,,招式學習器１５８,招式学习器１５８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm159,TM159,わざマシン１５９,わざマシン１５９,Waza Mashin 159,CT159,,TM159,MT159,,,MT159,기술머신159,,招式學習器１５９,招式学习器１５９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm160,TM160,わざマシン１６０,わざマシン１６０,Waza Mashin 160,CT160,,TM160,MT160,,,MT160,기술머신160,,招式學習器１６０,招式学习器１６０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm161,TM161,わざマシン１６１,わざマシン１６１,Waza Mashin 161,CT161,,TM161,MT161,,,MT161,기술머신161,,招式學習器１６１,招式学习器１６１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm162,TM162,わざマシン１６２,わざマシン１６２,Waza Mashin 162,CT162,,TM162,MT162,,,MT162,기술머신162,,招式學習器１６２,招式学习器１６２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm163,TM163,わざマシン１６３,わざマシン１６３,Waza Mashin 163,CT163,,TM163,MT163,,,MT163,기술머신163,,招式學習器１６３,招式学习器１６３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm164,TM164,わざマシン１６４,わざマシン１６４,Waza Mashin 164,CT164,,TM164,MT164,,,MT164,기술머신164,,招式學習器１６４,招式学习器１６４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm165,TM165,わざマシン１６５,わざマシン１６５,Waza Mashin 165,CT165,,TM165,MT165,,,MT165,기술머신165,,招式學習器１６５,招式学习器１６５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm166,TM166,わざマシン１６６,わざマシン１６６,Waza Mashin 166,CT166,,TM166,MT166,,,MT166,기술머신166,,招式學習器１６６,招式学习器１６６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm167,TM167,わざマシン１６７,わざマシン１６７,Waza Mashin 167,CT167,,TM167,MT167,,,MT167,기술머신167,,招式學習器１６７,招式学习器１６７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm168,TM168,わざマシン１６８,わざマシン１６８,Waza Mashin 168,CT168,,TM168,MT168,,,MT168,기술머신168,,招式學習器１６８,招式学习器１６８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm169,TM169,わざマシン１６９,わざマシン１６９,Waza Mashin 169,CT169,,TM169,MT169,,,MT169,기술머신169,,招式學習器１６９,招式学习器１６９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm170,TM170,わざマシン１７０,わざマシン１７０,Waza Mashin 170,CT170,,TM170,MT170,,,MT170,기술머신170,,招式學習器１７０,招式学习器１７０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm171,TM171,わざマシン１７１,わざマシン１７１,Waza Mashin 171,CT171,,TM171,MT171,,,MT171,기술머신171,,招式學習器１７１,招式学习器１７１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
picnic-set,Picnic Set,ピクニックセット,ピクニックセット,Picnic Set,Set de Pique-Nique,,Picknick-Set,Kit de Pícnic,,,Set da picnic,피크닉세트,Picnic Set,野餐組合,野餐组合,野餐組合 / 野餐组合,野餐組合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yěcān Zǔhé,Yéhchāan Jóuhahp
academy-bottle,Academy Bottle,スクールボトル,スクールボトル,Sukūru Botoru,Gourde de l'Académie,,Akademie-Flasche,Termo Academia,,,Borraccia accademia,스쿨 보틀,School Bottle,校園水壺,校园水壶,校園水壺 / 校园水壶,校園水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiàoyuán Shuǐhú,Haauhyùhn Séuiwú
polka-dot-bottle,Polka-Dot Bottle,みずたまボトル,みずたまボトル,,Gourde à Pois,,Punkte-Flasche,Termo Lunares,,,Borraccia a pois,물방울 보틀,Polka-Dot Bottle,圓點水壺,圆点水壶,圓點水壺 / 圆点水壶,圓點水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuándiǎn Shuǐhú,Yùhndím Séuiwú
striped-bottle,Striped Bottle,ストライプボトル,ストライプボトル,Sutoraipu Botoru,Gourde à Rayures,,Streifen-Flasche,Termo Rayas,,,Borraccia a righe,줄무늬 보틀,,條紋水壺,条纹水壶,條紋水壺 / 条纹水壶,條紋水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiáowén Shuǐhú,Tìuhmàhn Séuiwú
diamond-bottle,Diamond Bottle,ダイヤボトル,ダイヤボトル,Daiya Botoru,Gourde à Losanges,,Rauten-Flasche,Termo Rombos,,,Borraccia a rombi,다이아 보틀,Daia Boteul,菱紋水壺,菱纹水壶,菱紋水壺 / 菱纹水壶,菱紋水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Língwén Shuǐhú,Lìhngmàhn Séuiwú
academy-cup,Academy Cup,スクールカップ,スクールカップ,School Cup,Tasse de l'Académie,,Akademie-Tasse,Taza Academia,,,Tazza accademia,스쿨 컵,School Cup,校園水杯,校园水杯,校園水杯 / 校园水杯,校園水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiàoyuán Shuǐbēi,Haauhyùhn Séuibūi
striped-cup,Striped Cup,たてストライプカップ,たてストライプカップ,Tate Sutoraipu Kappu,Tasse à Rayures Jaunes,,Längsstreifen-Tasse,Taza Raya Vertical,,,Tazza a righe verticali,세로 줄무늬 컵,,直條紋水杯,直条纹水杯,直條紋水杯 / 直条纹水杯,直條紋水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhí Tiáowén Shuǐbēi,Jihk Tìuhmàhn Séuibūi
polka-dot-cup,Polka-Dot Cup,みずたまカップ,みずたまカップ,Mizutama Kappu,Tasse à Pois,,Punkte-Tasse,Taza Lunares,,,Tazza a pois,물방울 컵,,圓點水杯,圆点水杯,圓點水杯 / 圆点水杯,圓點水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuándiǎn Shuǐbēi,Yùhndím Séuibūi
flower-pattern-cup,Flower Pattern Cup,フラワーカップ,フラワーカップ,Flower Cup,Tasse à Fleurs,,Blümchen-Tasse,Taza Flores,,,Tazza a fiori,플라워 컵,Flower Cup,花朵水杯,花朵水杯,花朵水杯,花朵水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huāduǒ Shuǐbēi,Fādó Séuibūi
academy-tablecloth,Academy Tablecloth,スクールクロス,スクールクロス,School Cloth,Nappe de l'Académie,,Akademie-Tischtuch,Mantel Academia,,,Tovaglia accademia,스쿨 테이블보,School Tablecloth,校園桌巾,校园桌巾,校園桌巾 / 校园桌巾,校園桌巾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiàoyuán Zhuōjīn,Haauhyùhn Cheukgān
whimsical-tablecloth,Whimsical Tablecloth,ファンシークロス,ファンシークロス,Fancy Cloth,Nappe Fantaisie,,Zauber-Tischtuch,Mantel Cuco,Mantel Cuco,Mantel Pintoresco,Tovaglia carina,팬시 테이블보,Fancy Tablecloth,幻彩桌巾,幻彩桌巾,幻彩桌巾,幻彩桌巾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huàncǎi Zhuōjīn,Waahnchói Cheukgān
leafy-tablecloth,Leafy Tablecloth,ネイチャークロス,ネイチャークロス,Nature Cloth,Nappe Verdoyante,,Natur-Tischtuch,Mantel Naturaleza,,,Tovaglia natura,네이처 테이블보,,大自然桌巾,大自然桌巾,大自然桌巾,大自然桌巾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dàzìrán Zhuōjīn,Daaihjihyìhn Cheukgān
spooky-tablecloth,Spooky Tablecloth,うらめしクロス,うらめしクロス,Urameshi Kurosu,Nappe Hantée,,Groll-Tischtuch,Mantel Espectral,,,Tovaglia dispetto,원망 테이블보,Wonmang Teibeulbo,鬼祟桌巾,鬼祟桌巾,鬼祟桌巾,鬼祟桌巾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guǐsuì Zhuōjīn,Gwáiseuih Cheukgān
academy-ball,Academy Ball,スクールボール,スクールボール,Sukūru Bōru,Ballon de l'Académie,,Akademie-Ball,Pelota Academia,,,Palla accademia,스쿨볼,School Ball,校園球,校园球,校園球 / 校园球,校園球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiàoyuán Qiú,Haauhyùhn Kàuh
marill-ball,Marill Ball,マリルボール,マリルボール,Maril Ball,Ballon Marill,,Marill-Ball,Pelota Marill,,,Palla Marill,마릴볼,Marill Ball,瑪力露球,玛力露球,瑪力露球 / 玛力露球,瑪力露球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mǎlìlù Qiú,Máhlihklouh Kàuh
yarn-ball,Yarn Ball,けいとボール,けいとボール,,Pelote de Laine,,Woll-Ball,Pelota Ovillo,,,Palla gomitolo,털실볼,,毛線球,毛线球,毛線球 / 毛线球,毛線球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Máoxiàn Qiú,Mòuhsin Kàuh
cyber-ball,Cyber Ball,ゲーミングボール,ゲーミングボール,Gēmingu Bōru,Ballon Gaming,,Cyber-Ball,Pelota Cibernética,,,Palla gaming,게이밍볼,Gaming Ball,電競球,电竞球,電競球 / 电竞球,電競球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diànjìng Qiú,Dihngihng Kàuh
gold-pick,Gold Pick,ゴールドピック,ゴールドピック,Gōrudo Pikku,Pique Dorée,,Gold-Pikser,Palillo Dorado,Palillo Dorado,Palillo Oro,Stecchino oro,골드 픽,Gold Pick,金色三明治籤,金色三明治签,金色三明治籤 / 金色三明治签,金色三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jīnsè Sānmíngzhì Qiān,Gāmsīk Sāammìhngjih Chīm
silver-pick,Silver Pick,シルバーピック,シルバーピック,Silver Pick,Pique Argentée,,Silber-Pikser,Palillo Plateado,Palillo Plateado,Palillo Plata,Stecchino argento,실버 픽,Silver Pick,銀色三明治籤,银色三明治签,銀色三明治籤 / 银色三明治签,銀色三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yínsè Sānmíngzhì Qiān,Ngàhnsīk Sāammìhngjih Chīm
red-flag-pick,Red-Flag Pick,あかいはたピック,あかいはたピック,Akai Hata Pikku,Pique à Fanion Rouge,,Rotfahnen-Pikser,Palillo Bandera Roja,,,Bandierina rossa,빨강 깃발 픽,Red Flag Pick,紅旗子三明治籤,红旗子三明治签,紅旗子三明治籤 / 红旗子三明治签,紅旗子三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hóng Qízi Sānmíngzhì Qiān,Hùhng Kèihjí Sāammìhngjih Chīm
blue-flag-pick,Blue-Flag Pick,あおいはたピック,あおいはたピック,,Pique à Fanion Bleu,,Blaufahnen-Pikser,Palillo Bandera Azul,,,Bandierina blu,파랑 깃발 픽,Blue Flag Pick,藍旗子三明治籤,蓝旗子三明治签,藍旗子三明治籤 / 蓝旗子三明治签,藍旗子三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lán Qízi Sānmíngzhì Qiān,Làahm Kèihjí Sāammìhngjih Chīm
pika-pika-pick,Pika-Pika Pick,ピカピカピック,ピカピカピック,Pika Pika Pick,Pique Pikapika,,Pikapika-Pikser,Palillo Pikachu,,,Stecchino Pikachu,피카피카 픽,Pika Pika Pick,皮卡丘三明治籤,皮卡丘三明治签,皮卡丘三明治籤 / 皮卡丘三明治签,皮卡丘三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Píkǎqiū Sānmíngzhì Qiān,Pikachu Sāammìhngjih Chīm
winking-pika-pick,Winking Pika Pick,パチピカピック,パチピカピック,Pachipika Pikku,Pique à Chu Fripon,,Zwinker-Pika-Pikser,Palillo Pikaguiño,,,Stecchino pikapika,윙크피카 픽,Wink Pika Pick,眨眼皮卡丘三明治籤,眨眼皮卡丘三明治签,眨眼皮卡丘三明治籤 / 眨眼皮卡丘三明治签,眨眼皮卡丘三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhǎyǎn Píkǎqiū Sānmíngzhì Qiān,Jáamngáahn Pikachu Sāammìhngjih Chīm
vee-vee-pick,Vee-Vee Pick,ブイブイピック,ブイブイピック,Vee Vee Pick,Pique Volivoli,,Volivoli-Pikser,Palillo Eevee,,,Stecchino Eevee,브이브이 픽,Vee Vee Pick,伊布三明治籤,伊布三明治签,伊布三明治籤 / 伊布三明治签,伊布三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yībù Sānmíngzhì Qiān,Yībou Sāammìhngjih Chīm
smiling-vee-pick,Smiling Vee Pick,ニコブイピック,ニコブイピック,Smile Vee Pick,Pique Évo Rit,,Kicher-Voli-Pikser,Palillo Eevee Feliz,,,Stecchino veevee,방긋브이 픽,,笑臉伊布三明治籤,笑脸伊布三明治签,笑臉伊布三明治籤 / 笑脸伊布三明治签,笑臉伊布三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiàoliǎn Yībù Sānmíngzhì Qiān,Siulíhm Yībou Sāammìhngjih Chīm
blue-poke-ball-pick,Blue Poké Ball Pick,あおボールピック,あおボールピック,Ao Bōru Pikku,Pique à Ball Bleue,,Blauball-Pikser,Palillo Ball Azul,Palillo Ball Azul,Palillo Bola Azul,Stecchino Ball blu,파랑 볼 픽,Parang Bol Pik,藍珠珠三明治籤,蓝珠珠三明治签,藍珠珠三明治籤 / 蓝珠珠三明治签,藍珠珠三明治籤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lán Zhūzhū Sānmíngzhì Qiān,Làahm Jyūjyū Sāammìhngjih Chīm
auspicious-armor,Auspicious Armor,イワイノヨロイ,イワイノヨロイ,,Armure de la Fortune,,Glorienrüstung,Armadura Auspiciosa,,,Armatura fausta,축복받은갑옷,Chukcol Badeun Gabot,慶祝之鎧,庆祝之铠,慶祝之鎧 / 庆祝之铠,慶祝之鎧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qìngzhù zhī Kǎi,Hingjūk jī Hói
leaders-crest,Leader’s Crest,かしらのしるし,かしらのしるし,,Emblème du Général,,Anführersymbol,Distintivo de Líder,,,Simbolo del capo,대장의징표,Daejang-ui Jingpyo,頭領憑證,头领凭证,頭領憑證 / 头领凭证,頭領憑證,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tóulǐng Píngzhèng,Táuléhng Pàhngjing
pink-bottle,Pink Bottle,ピンクボトル,ピンクボトル,Pink Bottle,Gourde Rose,,Pinke Flasche,Termo Rosa,,,Borraccia rosa,핑크 보틀,Pink Bottle,粉紅水壺,粉红水壶,粉紅水壺 / 粉红水壶,粉紅水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fěnhóng Shuǐhú,Fánhùhng Séuiwú
blue-bottle,Blue Bottle,ブルーボトル,ブルーボトル,Blue Bottle,Gourde Bleue,,Blaue Flasche,Termo Azul,,,Borraccia celeste,블루 보틀,Blue Bottle,藍色水壺,蓝色水壶,藍色水壺 / 蓝色水壶,藍色水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lán-sè Shuǐhú,Làahm-sīk Séuiwú
yellow-bottle,Yellow Bottle,イエローボトル,イエローボトル,Yellow Bottle,Gourde Jaune,,Gelbe Flasche,Termo Amarillo,,,Borraccia gialla,옐로 보틀,Yellow Bottle,黃色水壺,黄色水壶,黃色水壺 / 黄色水壶,黃色水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huáng-sè Shuǐhú,Wòhng-sīk Séuiwú
steel-bottle-r,Steel Bottle (R),Rステンレスボトル,Rステンレスボトル,R Stainless Steel Bottle,Gourde Inox (Rouge),,Edelstahlflasche (R),Termo Metal Rojo,,,Borraccia inox R,R 스테인리스 보틀,R Stainless Steel Bottle,紅紋不鏽鋼水壺,红纹不锈钢水壶,紅紋不鏽鋼水壺 / 红纹不锈钢水壶,紅紋不鏽鋼水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hóng Wén Bùxiùgāng Shuǐhú,Hùhng Màhn Bātsaugong Séuiwú
steel-bottle-y,Steel Bottle (Y),Yステンレスボトル,Yステンレスボトル,Y Stainless Steel Bottle,Gourde Inox (Jaune),,Edelstahlflasche (G),Termo Metal Amarillo,,,Borraccia inox G,Y 스테인리스 보틀,Y Stainless Steel Bottle,黃紋不鏽鋼水壺,黄纹不锈钢水壶,黃紋不鏽鋼水壺 / 黄纹不锈钢水壶,黃紋不鏽鋼水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huáng Wén Bùxiùgāng Shuǐhú,Wòhng Màhn Bātsaugong Séuiwú
steel-bottle-b,Steel Bottle (B),Bステンレスボトル,Bステンレスボトル,B Stainless Steel Bottle,Gourde Inox (Bleue),,Edelstahlflasche (B),Termo Metal Azul,,,Borraccia inox B,B 스테인리스 보틀,B Stainless Steel Bottle,藍紋不鏽鋼水壺,蓝纹不锈钢水壶,藍紋不鏽鋼水壺 / 蓝纹不锈钢水壶,藍紋不鏽鋼水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lán Wén Bùxiùgāng Shuǐhú,Làahm Màhn Bātsaugong Séuiwú
silver-bottle,Silver Bottle,シルバーチタンボトル,シルバーチタンボトル,Shirubā Chitan Botoru,Gourde Titane (Argent),,Silber-Titanflasche,Termo Plateado,Termo Plateado,Termo Plata,Borraccia argento,실버 티탄 보틀,,銀鈦水壺,银钛水壶,銀鈦水壺 / 银钛水壶,銀鈦水壺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yín Tài Shuǐhú,Ngàhn Taai Séuiwú
barred-cup,Barred Cup,よこストライプカップ,よこストライプカップ,,Tasse à Rayures Bleues,,Querstreifen-Tasse,Taza Raya Horizontal,,,Tazza a righe orizzontali,가로 줄무늬 컵,,橫條紋水杯,横条纹水杯,橫條紋水杯 / 横条纹水杯,橫條紋水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Héng Tiáowén Shuǐbēi,Wàahng Tìuhmàhn Séuibūi
diamond-pattern-cup,Diamond Pattern Cup,ダイヤカップ,ダイヤカップ,Diamond Cup,Tasse à Losanges,,Rauten-Tasse,Taza Rombos,,,Tazza a rombi,다이아 컵,Diamond Cup,菱紋水杯,菱纹水杯,菱紋水杯 / 菱纹水杯,菱紋水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Língwén Shuǐbēi,Lìhngmàhn Séuibūi
fire-pattern-cup,Fire Pattern Cup,ファイヤーカップ,ファイヤーカップ,Fire Cup,Tasse à Flammes,,Flammen-Tasse,Taza Llamas,,,Tazza con fiamme,파이어 컵,Fire Cup,火焰水杯,火焰水杯,火焰水杯,火焰水杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huǒyàn Shuǐbēi,Fóyihm Séuibūi
